	antecedent	consequent	confidence	lift
20224	29,35,53,64	39	0.9773691654879774	1.4466323416137838
20225	29,53,59,66	37	0.9773691654879774	1.4466323416137838
20226	8,31,41	24	0.971830985915493	1.438435122010257
20227	39,45,51,64	31	0.9815078236130867	1.45275808908575
20228	18,34,35,54	31	0.9788732394366197	1.4488585649233747
20229	21,23,54	57	0.9622905027932961	1.4243139772815918
20230	8,16,31,64	51	0.9611650485436893	1.4226481599282532
20231	34,47,57,66	37	0.9690576652601969	1.4343302499769615
20232	34,57,63	45	0.9339622641509434	1.3853606027987084
20233	24,36,44,47	6	0.9504132231404959	1.42821092855791
20234	24,37,47,53,57	31	0.9914772727272727	1.4675141587735572
20235	2,31,38,47,57	59	0.9814814814814815	1.4527190993356407
20236	28,30,39	31	0.9569444444444445	1.4164011218522496
20237	36,45,61	23	0.9324324324324325	1.3816041848299914
20238	24,46,51,57	29	0.9731638418079096	1.4404079205277114
20239	29,62,64	35	0.9691011235955056	1.4359369336716201
20240	3,39,53,57	36	0.984352773826458	1.456968982097593
20241	35,36,44,66	47	0.9745762711864406	1.4424984980611333
20242	24,51,52	45	0.9427792915531336	1.3984390352639593
20243	4,19,47	23	0.9336941813261164	1.3834737439434284
20244	33,47,62,66	57	0.9745762711864406	1.4424984980611333
20245	24,38,52,53	57	0.9745762711864406	1.4424984980611333
20246	10,44,47,62	24	0.9759206798866855	1.4444883962232573
20247	12,34,40	31	0.969187675070028	1.4345226812529521
20248	3,31,54,57,59	18	0.9814814814814815	1.4558465893234462
20249	10,43,54	24	0.9428571428571428	1.3955500997391437
20250	29,38,41	45	0.9466484268125855	1.4041781831514994
20251	28,40,57	3	0.96	1.501566401816118
20252	31,36,39,58	45	0.9663865546218487	1.43345605195792
20253	12,35,57,64	31	0.984375	1.457001879699248
20254	33,69	26	0.90234375	1.3370211693548388
20255	32,44,47,62	51	0.9569444444444445	1.4164011218522496
20256	29,39,47,53	31	0.984375	1.457001879699248
20257	8,34	6	0.9112801013941698	1.3694045580383492
20258	31,48,59	45	0.9527665317139001	1.4132532623269694
20259	37,47	30	0.9147095179233622	1.3553437803208528
20260	36,44,57,64	6	0.9583333333333334	1.4401126862958926
20261	51,57,58,66	31	0.9773691654879774	1.4466323416137838
20262	9,29,52	45	0.9546703296703297	1.4160771951407045
20263	18,29,36	6	0.9404600811907984	1.41325408056807
20264	2,3,36,57	59	0.973314606741573	1.4406310720621778
20265	28,59,65	35	0.9559228650137741	1.416410438697829
20266	18,31,37,53,57	59	0.9802816901408451	1.4509432535059983
20267	31,32,53,54	18	0.9719101123595506	1.4416492301738006
20268	24,58,66	51	0.9598337950138505	1.4206777331139482
20269	24,34,38,51	31	0.9843971631205674	1.4570346839743735
20270	8,31,33,38,57	47	0.9843081312410842	1.4569029053170934
